N,t,std_last5
600,33,3104.423625960582
600,34,3107.0467156744094
600,35,3493.101749699607
600,36,4122.325734417973
600,37,3783.992556616598
600,38,4281.011986702278
600,39,4113.932553647816
600,40,3302.326458982974
600,41,3024.5151755940833
600,42,3303.9747331012354
600,43,3515.2483251644076
600,44,3528.2979586231972
600,45,4315.51585691625
600,46,2905.9747017854406
600,47,2363.5355887915066
700,1,190.27206456648906
700,2,236.21411132364526
700,3,267.38466389169236
700,4,373.3196393454928
700,5,927.6097301058901
700,6,2612.69600596501
700,7,1831.0242843336498
700,8,1662.6747788447597
700,9,1475.7592046123248
700,10,1413.5022363448008
700,11,1436.0107744273391
700,12,1468.3495091226523
700,13,5319.957308966847
700,14,5756.509092512146
700,15,6049.053382256973
700,16,7050.164590318886
700,17,6861.790429987551
700,18,6387.228055469102
700,19,6432.724580294197
700,20,6905.318791139013
700,21,6355.746054888666
700,22,6096.32096484306
700,23,6205.883225869354
700,24,6298.262067725942
700,25,6131.475065091687
700,26,6061.086234355473
700,27,5442.91035731295
700,28,5085.380093735294
700,29,4783.421466081457
700,30,4483.515235353286
700,31,4629.063196715544
700,32,4508.18814476593
700,33,4439.959407028341
700,34,4634.218810822372
700,35,4863.428837874743
700,36,5331.072447848456
700,37,5701.069990891203
700,38,6916.558920763198
700,39,6990.765552482357
700,40,6278.854062960969
700,41,5817.089898432245
700,42,5671.223856202974
700,43,5524.8871691014165
700,44,5506.141426552145
700,45,5563.363520280616
700,46,3984.8749727891836
700,47,3058.0982735283483
800,1,148.12852402878053
800,2,1069.0856285684802
800,3,1081.601522011197
800,4,1082.669182518916
800,5,1451.9754174541317
800,6,2370.439143760242
800,7,1635.06897022707
800,8,2029.9408074061105
800,9,1994.728178951183
800,10,2007.9970078053107
800,11,2047.597166712894
800,12,2020.5702743804413
800,13,5901.417951318434
800,14,6601.9481372585
800,15,6998.259936370802
800,16,8090.890722578992
800,17,8195.470449588533
800,18,7551.768733493301
800,19,7484.919178424164
800,20,8285.08211063531
800,21,8135.65088377171
800,22,8315.638783414519
800,23,7859.031386231812
800,24,6773.511956145849
800,25,6550.081337602327
800,26,5985.840226825123
800,27,5378.051569557599
800,28,5309.6751261910285
800,29,5047.148289847795
800,30,4654.662792797369
800,31,4783.792069410488
800,32,4549.833382931004
800,33,4436.056209342033
800,34,4263.906182787199
800,35,3958.7315781355596
800,36,4539.248779719116
800,37,4854.589309551586
800,38,5550.466812985443
800,39,6691.069975302134
800,40,6326.838710515722
800,41,6303.901359515546
800,42,6505.421707811755
800,43,6184.828886496453
800,44,5822.847950144268
800,45,7298.43672031699
800,46,6361.89160167533
800,47,4124.316057545908
900,1,143.419058884558
900,2,1061.6037124636323
900,3,1083.5957853998818
900,4,1081.1283880676424
900,5,1413.4203523846186
900,6,2337.8007274581205
900,7,1936.9987898843003
900,8,2195.7780910276447
900,9,1991.5943832180856
900,10,1914.0734627746326
900,11,2342.429050054273
900,12,2585.5338042112
900,13,6366.823918477084
900,14,7272.822341958375
900,15,7397.558622844759
900,16,8338.749455814157
900,17,8440.382765017099
900,18,8382.388665306868
900,19,8648.316115489373
900,20,9564.536077836821
900,21,8975.402154182595
900,22,8487.232072989018
900,23,8217.440128745508
900,24,7761.90649244648
900,25,7355.507034760833
900,26,7131.278324109181
900,27,6454.2227054554105
900,28,6008.104819984992
900,29,5491.340397156378
900,30,5044.1478087051955
900,31,4811.087803202148
900,32,4566.219919330444
900,33,4593.319410331926
900,34,4632.286322382256
900,35,4753.272589010254
900,36,5461.5018551822295
900,37,5578.332846534529
900,38,6807.291205396475
900,39,7299.656713157942
900,40,7196.27145500064
900,41,7460.6854314038455
900,42,8172.79298266918
900,43,8784.152366836537
900,44,8118.042970714616
900,45,6614.790750915629
900,46,5454.750577317039
900,47,3749.26390025421
1000,1,190.27206456648867
1000,2,236.0278488424359
1000,3,267.19521307937873
1000,4,319.0076905281864
1000,5,908.3700484538668
1000,6,2500.371482727456
1000,7,1892.9978264850413
1000,8,2068.7034722453104
1000,9,1947.3860590504635
1000,10,1856.7695057531553
1000,11,1918.3416894914537
1000,12,1444.1374294866782
1000,13,1568.9581526281843
1000,14,2188.7479967774666
1000,15,2510.4433346171277
1000,16,3805.655331732564
1000,17,3993.639922734842
1000,18,4020.021650960219
1000,19,4690.745373279122
1000,20,6200.585775171155
1000,21,5468.545982839321
1000,22,5591.803203206868
1000,23,5060.791797422846
1000,24,5018.761369269224
1000,25,4655.518397956811
1000,26,4394.0032760918475
1000,27,3820.6557618235083
1000,28,3433.4008276889194
1000,29,3178.3565902335413
1000,30,3088.5884877382737
1000,31,3073.409951531289
1000,32,3112.02082231574
1000,33,3230.7028343378665
1000,34,3232.6761174978847
1000,35,3579.9443470782576
1000,36,4243.407886253118
1000,37,4691.230778957554
1000,38,5227.679359053657
1000,39,6822.758902873456
1000,40,6334.160635455611
1000,41,6301.021938082034
1000,42,7119.307213638539
1000,43,7139.289654126213
1000,44,6672.254077117954
1000,45,6826.6705656285285
1000,46,6722.001235856786
1000,47,5633.520808762125
