N,t,std_last5
700,14,5756.509092512146
700,15,6049.053382256973
700,16,7050.164590318886
700,17,6861.790429987551
700,18,6387.228055469103
700,19,6432.724580294197
700,20,6905.318791139015
700,21,6355.7460548886675
700,22,6096.320964843062
700,23,6205.8832258693565
700,24,6298.262067725944
700,25,6131.475065091689
700,26,6061.086234355475
700,27,5442.910357312951
700,28,5085.380093735297
700,29,4783.421466081459
700,30,4483.515235353289
700,31,4629.063196715547
700,32,4508.1881447659325
700,33,4439.959407028344
700,34,4634.2188108223745
700,35,4863.428837874746
700,36,5331.07244784846
700,37,5701.0699908912065
700,38,6916.558920763203
700,39,6990.765552482362
700,40,6278.854062960973
700,41,5817.089898432249
700,42,5671.22385620298
700,43,5524.887169101421
700,44,5506.14142655215
700,45,5563.363520280621
700,46,3984.874972789189
700,47,3058.098273528354
800,1,148.12852402878053
800,2,1069.08562856848
800,3,1081.601522011196
800,4,1082.6691825189152
800,5,1451.9754174541313
800,6,2370.4391437602417
800,7,1635.06897022707
800,8,2029.9408074061103
800,9,1994.7281789511835
800,10,2007.9970078053104
800,11,2047.597166712895
800,12,2020.5702743804416
800,13,5901.417951318434
800,14,6601.9481372585005
800,15,6998.259936370802
800,16,8090.890722578992
800,17,8195.470449588534
800,18,7551.768733493302
800,19,7484.919178424164
800,20,8285.082110635312
800,21,8135.650883771711
800,22,8315.63878341452
800,23,7859.031386231813
800,24,6773.5119561458505
800,25,6550.081337602328
800,26,5985.840226825126
800,27,5378.0515695576
800,28,5309.6751261910285
800,29,5047.148289847795
800,30,4654.6627927973705
800,31,4783.792069410489
800,32,4549.833382931006
800,33,4436.056209342034
800,34,4263.9061827872
800,35,3958.7315781355605
800,36,4539.248779719117
800,37,4854.589309551587
800,38,5550.466812985444
800,39,6691.069975302136
800,40,6326.838710515724
800,41,6303.901359515549
800,42,6505.421707811758
800,43,6184.828886496457
800,44,5822.847950144271
800,45,7298.436720316995
800,46,6361.891601675335
800,47,4124.3160575459115
900,1,143.419058884558
900,2,1061.603712463632
900,3,1083.5957853998812
900,4,1081.128388067641
900,5,1413.420352384618
900,6,2337.8007274581205
900,7,1936.9987898843003
900,8,2195.7780910276456
900,9,1991.594383218086
900,10,1914.0734627746338
900,11,2342.4290500542743
900,12,2585.5338042112
900,13,6366.823918477085
900,14,7272.8223419583765
900,15,7397.558622844761
900,16,8338.749455814159
900,17,8440.3827650171
900,18,8382.38866530687
900,19,8648.316115489373
900,20,9564.536077836823
900,21,8975.402154182597
900,22,8487.232072989018
900,23,8217.44012874551
900,24,7761.906492446483
900,25,7355.507034760835
900,26,7131.278324109183
900,27,6454.222705455412
900,28,6008.104819984993
900,29,5491.340397156379
900,30,5044.147808705197
900,31,4811.087803202149
900,32,4566.219919330445
900,33,4593.3194103319265
900,34,4632.286322382259
900,35,4753.272589010257
900,36,5461.501855182232
900,37,5578.332846534532
900,38,6807.291205396477
900,39,7299.656713157944
900,40,7196.271455000644
900,41,7460.685431403846
900,42,8172.792982669182
900,43,8784.152366836539
900,44,8118.042970714616
900,45,6614.7907509156275
900,46,5454.750577317039
900,47,3749.2639002542105
1000,1,190.27206456648867
1000,2,236.0278488424362
1000,3,267.1952130793789
1000,4,319.00769052818663
1000,5,908.3700484538666
1000,6,2500.371482727456
1000,7,1892.9978264850417
1000,8,2068.7034722453113
1000,9,1947.3860590504642
1000,10,1856.769505753156
1000,11,1918.3416894914542
1000,12,1444.1374294866782
1000,13,1568.958152628185
1000,14,2188.7479967774666
1000,15,2510.4433346171286
1000,16,3805.6553317325647
1000,17,3993.639922734843
1000,18,4020.0216509602196
1000,19,4690.745373279124
1000,20,6200.585775171156
1000,21,5468.545982839322
1000,22,5591.803203206869
1000,23,5060.791797422847
1000,24,5018.761369269225
1000,25,4655.518397956813
1000,26,4394.003276091849
1000,27,3820.65576182351
1000,28,3433.4008276889213
1000,29,3178.356590233543
1000,30,3088.5884877382755
1000,31,3073.409951531291
1000,32,3112.020822315743
1000,33,3230.7028343378693
1000,34,3232.6761174978874
1000,35,3579.9443470782603
1000,36,4243.407886253122
1000,37,4691.230778957559
1000,38,5227.679359053661
1000,39,6822.758902873461
1000,40,6334.160635455616
1000,41,6301.021938082039
1000,42,7119.307213638544
1000,43,7139.289654126218
1000,44,6672.254077117958
1000,45,6826.670565628534
1000,46,6722.001235856789
1000,47,5633.520808762129
